cell_id,group
aaecfloh-1,Endothelial
aaecgndh-1,Mast Cells
aaechdcc-1,Tumor1
aaecjjob-1,Tumor1
aaeclbjd-1,Tumor1
aaedakpl-1,T Cells
aaedblmg-1,Macrophages
aaedblni-1,T Cells
aaedhfbb-1,T Cells
aaedhppo-1,Tumor1
aaedngac-1,T Cells
aaednjga-1,Mast Cells
aaedogia-1,Macrophages
aaedopnh-1,T Cells
aaeecaco-1,Mast Cells
aaeecmhg-1,T Cells
aaeeeaea-1,Mast Cells
aaeeflnk-1,Tumor1
aaeeghpj-1,Tumor1
aaeegmaa-1,Tumor1
aaeegpah-1,Tumor1
aaeeihmg-1,Tumor2
aaeekpkg-1,Tumor1
aaeelcnh-1,Tumor1
aaeemldh-1,Tumor1
aaeepkpp-1,Tumor1
aaefamda-1,Tumor1
aaefbbge-1,Tumor1
aaefblcg-1,Tumor1
aaefdcdh-1,Tumor3
aaefgmpe-1,Tumor2
aaefhekp-1,Tumor3
aaefhkod-1,Tumor1
aaefigbo-1,Tumor1
aaefinen-1,Tumor1
aaefknpe-1,Tumor3
aaeflhlj-1,Tumor1
aaefmmgh-1,Tumor1
aaefmoph-1,Tumor1
aaefohig-1,Mast Cells
aaefoomp-1,Tumor1
aaegbdhk-1,T Cells
aaegfiid-1,T Cells
aaegggam-1,T Cells
aaeghiap-1,T Cells
aaeghjob-1,T Cells
aaeghmbl-1,T Cells
aaegjelc-1,Tumor1
aaegjmmn-1,Tumor1
aaegldee-1,Tumor1
aaegmemo-1,Tumor3
aaegmfcb-1,Tumor1
aaegmgfp-1,Tumor1
aaegnehm-1,Tumor1
aaegnkcn-1,T Cells
aaehccbd-1,Tumor1
aaehdeof-1,Tumor1
aaehdimn-1,Tumor1
aaehdnkh-1,Tumor3
aaehghgf-1,Tumor1
aaehgpnp-1,Tumor1
aaehhpmn-1,Tumor1
aaehkajk-1,Tumor1
aaeiaehf-1,Tumor1
aaeiaiig-1,Tumor1
aaeibkhl-1,Plasma Cells
aaeicmng-1,T Cells
aaeienfb-1,T Cells
aaeifaaf-1,Tumor1
aaeifnmb-1,Tumor1
aaeigaoi-1,Tumor1
aaeigegp-1,Tumor1
aaeihalc-1,T Cells
aaeihcan-1,Tumor1
aaeihchc-1,Tumor3
aaeiigek-1,Tumor1
aaeikdnb-1,Endothelial
aaeikoho-1,Tumor1
aaeiljnj-1,Tumor3
aaeiokle-1,Tumor1
aaeioood-1,Tumor1
aaeipdee-1,Tumor3
aaejchjk-1,Tumor1
aaejfabc-1,Tumor1
aaejgbek-1,Tumor1
aaejgcfd-1,Tumor1
aaejhnmn-1,Tumor1
aaejnlap-1,Tumor1
aaekagin-1,Tumor1
aaekcami-1,Tumor1
aaekcklb-1,Tumor1
aaekdadm-1,T Cells
aaekdegj-1,Tumor1
aaekdpld-1,Tumor1
aaekeccg-1,Tumor1
aaekgcfp-1,Tumor1
aaekiakc-1,Tumor1
aaekklmk-1,Tumor1
aaeklikn-1,Tumor1
aaeknogm-1,Tumor3
aaekolon-1,Tumor2
aaekonbi-1,Tumor1
aaekopah-1,Tumor1
aaelamnc-1,Tumor3
aaelbmhj-1,Tumor1
aaelcfml-1,Tumor1
aaelcpih-1,Tumor1
aaeleekl-1,Tumor1
aaeljndg-1,Tumor1
