SYMBOL,Log2FC
RELL1,3.2936919490523535
SETBP1,4.300202388440032
CCL11,4.844522904663843
TMEM255B,4.207541095572853
ARHGAP30,4.216839528958064
ENPP2,4.167355227121318
CCN1,3.2679273414671264
CLIC2,4.386472516424906
VASN,4.494336549734967
SELPLG,4.671040083808342
QSER1,3.7656769579464164
RUNX1T1,5.261819911
FAM20A,5.764149488199823
SLAMF8,5.731969082450673
PTGDS,4.401579408815115
DDX60L,3.869184958898112
BCL2A1,4.223581106837121
GLT8D2,4.313436257316981
NOVA2,4.875285158434529
MPDZ,4.6986163281607665
LAYN,4.603925887949804
DLL1,4.478395005865946
IL16,5.271944128398519
MARCHF1,4.279323658764118
CLDN5,5.467668599272887
IFFO1,5.467668599272887
LOX,3.3250665149543277
TIMP1,2.7177178231522707
GPR68,5.004463817533534
LILRB2,5.124045433286206
GMFG,4.681128901431925
RASIP1,4.264526656836036
BMP5,5.271944128398519
SH2B3,3.146413246
PHLDB2,4.156466910978583
CNN1,3.969263918104435
GNG2,4.725832556648721
CSF2RB,5.445973528173568
SERPINB9,3.3788593323150313
CNRIP1,4.6986163281607665
SHE,5.136289029040952
RUNX3,4.875285158434529
LY96,3.7618356223615756
NSG1,4.197108895475928
CSRP2,4.926985064855816
TNFSF12,3.1946501048664704
EMP1,2.8584320224022126
RASSF4,3.388382106433537
SYT11,4.7766188401620395
TLR2,3.5715044102574267
GBP4,5.115824926481237
PDGFD,3.5908697351243575
RASGRP3,4.1853217736507675
CTSC,3.0202907008908113
EPB41L4A,5.118992206
SERPINA1,3.288973828797836
SNED1,4.980895346395129
PSD3,3.320542836724208
MSC,4.536738992
BASP1,3.2102381674195635
ECM1,3.5715044102574267
MATK,6.049551707062071
SGIP1,4.963821833036187
ALDH1A3,3.374647081028116
MMP19,4.9263471276175235
UBE2L6,3.1590362705907165
EVI2A,4.360000305063714
ITGAL,4.878165748491479
SMARCA1,3.8147755612697916
DUSP5,4.098751413122296
ANOS1,4.258004937440645
SPHK1,3.6881493291096974
LRRC8C,4.054587296959369
CDKN2B,4.0542865161721044
VASH1,2.8140747135315047
ADA2,2.9568819360160314
PLEKHH2,5.014447906106155
BLMH,3.8988663911954164
OLFML1,4.645504991701204
MYH11,3.3416368683588322
C1QTNF6,3.571504410257427
ATP10A,4.986541909536271
APOBEC3G,4.590363437508743
HEYL,3.841593573625172
FAS,3.5205204815386217
IFIT2,3.8404394175309045
FGD2,4.814360934153591
GPR4,4.958527533366674
CACNA2D1,4.630398099310995
APOC1,3.328078289048782
TSC22D3,3.0309360288947245
GIMAP6,4.686981627677363
MYH10,4.187163708201499
CIITA,5.2877114442568365
PTGER2,4.673866127887105
BCL6B,5.332316746378001
HSPA2,3.5308624257600814
ST3GAL1,4.095066366314439
PLCG2,4.387079839119998
ETV1,4.016289252930323
PTGS1,4.207092984048551
ST6GALNAC6,3.0744311421125716
SGCD,5.869184958898112
EGR2,4.630398099310995
SASH3,4.525700720644302
CD80,4.369870549087777
GLIS2,4.369870549087777
NTM,4.317747818011644
CACNA1C,4.405494458818498
GPR137B,3.1822300070436644
HMCN1,4.800323100753308
TNFAIP6,4.397475010482377
EFEMP2,3.3425632030920407
ZBTB46,4.110663221365458
RIPOR1,3.401579408815115
FBN2,4.8302386786575955
ODF3B,4.063357506587102
DNAAF9,4.038630420684725
CLIP4,5.118992206
LIX1L,2.848262534710423
ANGPT1,4.780957775886376
MKX,4.673866127887105
NKG7,4.980895346395129
ID4,4.312971396658574
ABCG1,4.334465212956577
CLEC5A,5.284222458176956
SCUBE1,5.454147459619268
MAB21L2,4.378859332
PRKCH,4.378859332
PREX1,3.331145442
UTY,5.137851232811236
CCDC80,2.9743328518410532
PRKCB,4.8726739449779926
CYRIA,4.913896607704505
TCF21,4.963821833036187
MSN,2.605151416764054
S100A4,2.7677880652631703
MRAS,3.733255480254039
PTGIS,4.333344673062663
INMT,3.845679373696421
DIPK2B,5.000347709061301
CD36,4.325148745570264
HMOX1,3.2961014469932146
KLRK1,4.313436257316981
FERMT3,3.905241807434422
TNFSF4,4.530862425760081
S100A9,4.131266356853441
EVA1B,3.588378228821823
FOXF2,4.090878569351007
ADAMTS5,6.156466910978583
HLX,4.848344616
TSPAN18,4.848344616
TMEM45A,4.295869968
SCARF1,4.707019380913907
C5AR1,3.915458811474788
PTPN7,4.934074489642136
RGS7BP,4.893432505
WNT4,4.452859913758808
P2RY6,4.452859913758808
VWA1,2.8113314249298953
GP1BB,5.052631099994043
SSC5D,4.673866127887105
GPC1,3.1160874494627437
BTK,4.705360156992217
SERPINE1,3.2545311973128297
PODNL1,4.741429411699739
SPART,4.680028867035596
ADCY4,4.014447906106155
LILRB1,4.992968178695704
EPB41L3,4.398667813395211
MFGE8,2.659310791226234
ABCA10,5.326391912420895
