SYMBOL,Log2FC
CD36,-4.602760845
CXCL14,-3.11671543
AGT,-4.52647726
RASSF2,-4.023976919
EMP1,-3.192598084
DYSF,-4.912945607
SYNPO,-3.7936793
GIMAP4,-4.44718835
EIF1AY,-5.100327805
MCC,-5.511242746
SNED1,-5.507792696
DUSP1,-3.373426077
NCKAP1L,-4.881957914
PTGIS,-5.16575088
DZIP1,-4.657613267
INMT,-4.634702516
ARHGAP15,-4.949976338
PDLIM2,-3.936993617
DKK2,-6.491582469
EVI2A,-4.908499702
ISG15,-3.173437818
CXCL12,-4.071629895
LAMA2,-5.345905014
CA2,-4.422526296
SERPINE1,-3.807809118
GLT8D2,-5.008870027
CDH5,-4.831331841
EFEMP2,-3.920141108
PODNL1,-5.474638328
AQP9,-5.186248348
BNC2,-4.930867515
PCDH12,-5.316758668
LATS2,-4.128313579
KIF26B,-4.887095113
CTSD,-3.105839031
MX1,-3.263943308
HHIP,-6.223649264
PTGER3,-6.073220438
SLC37A2,-4.309379138
ADAMTS9,-3.705963874
NEXN,-3.839088285
GUCY1B1,-5.302836292
PDZD2,-4.831331841
SPART,-4.635411631
EMCN,-6.068371038
TEK,-5.715138824
TNFAIP6,-5.119901339
PHLDB2,-4.145967443
BCL2A1,-4.565123187
APOC1,-3.457182541
FERMT3,-4.059600829
DACT1,-4.019027703
SLC6A6,-3.465644258
IL4I1,-4.881957914
DSE,-3.635834647
HAPLN3,-3.823064225
B2M,-2.87259275
FRMD6,-5.218992901
IL10RA,-4.574174002
GLIS2,-5.129771583
ECM1,-4.013634975
DENND2A,-4.746442944
DOCK2,-5.032538933
NFIB,-4.982397815
PSAP,-2.868659844
PLPP1,-3.19696172
PLEK,-4.922830196
TGFB1,-3.448312163
MRAS,-4.067045641
KIRREL1,-3.250891899
F2R,-4.943358459
SEC14L1,-3.281886293
SCARF1,-4.54551404
PREX2,-5.184441591
CCL8,-5.275895293
MYH10,-4.713636798
SGCE,-4.724416637
ADAM28,-4.331405444
PRKAR2B,-5.416294342
S100A4,-2.994472925
ARHGAP31,-4.190874228
STX11,-4.953587591
EBF1,-5.507059806
FLT1,-3.378753894
GNLY,-5.765443905
ITGAM,-5.746442944
ST6GALNAC6,-3.35428468
CD86,-4.697377384
SYNC,-5.296995413
F2RL2,-4.856866933
CYTIP,-4.439014418
CCL11,-5.235481024
COL7A1,-3.589728816
SYT11,-5.052173811
S100A8,-4.838673816
EPB41L3,-4.797973244
SGCB,-3.232248232
NBL1,-2.873276485
MAST4,-4.469536363
GPC1,-3.431924994
PILRA,-4.948249593
EPHA3,-5.204549165
TNFSF12,-3.416294342
C5AR1,-4.076444339
TSC22D3,-3.275515686
SLC24A3,-4.926679718
PTAFR,-4.715854624
SETBP1,-4.540552445
EGR2,-4.939584732
ARHGDIB,-2.983548493
LY96,-3.824039349
UBE2L6,-3.292203994
NFATC1,-5.148672667
TLR4,-4.570871379
C1QTNF3,-3.469317178
CACNA1C,-4.955958496
LHFPL2,-3.477694886
TMTC1,-5.096385415
PRR16,-5.033961008
TGFB3,-5.20231416
SH3PXD2A,-3.045181411
QSER1,-4.023976919
RELL1,-3.395945696
LINGO1,-5.266051706
CPED1,-3.301416474
ELMO1,-4.719970732
SGCD,-5.954714257
BLMH,-4.064240789
CCL3,-5.042835946
DLL1,-4.962576374
MARCH1,-4.97572175
CRMP1,-4.724416637
IL16,-5.306910882
DPT,-5.704096653
LSAMP,-4.289870979
GJA4,-5.958088983
ITGAL,-4.987451043
ARHGAP30,-4.207774095
KYNU,-4.935920742
GLIPR1,-3.918794682
PTGDS,-4.591661428
CD209,-4.87958701
ARHGAP29,-3.753619172
BICC1,-3.362978527
OAS2,-3.072144202
SERPINA1,-3.364520692
VASN,-4.724416637
ENPEP,-4.831331841
HSPA12B,-5.086261197
RUNX1,-2.907101064
SEMA6B,-5.667833109
MSC,-5.432061658
GBP4,-5.712032913
DUSP5,-4.549700216
FGFR1,-3.356820791
CTSC,-2.897246689
MCTP1,-3.828505797
CAVIN3,-4.011904087
SASH3,-4.724416637
PLK2,-3.879241826
TRPS1,-4.28546916
MEDAG,-5.115899408
IGHG3,-6.384133067
MATK,-5.422526296
C1orf162,-4.122466782
NSG1,-4.6602863
TRO,-6.724416637
CCN4,-4.591661428
APBB1IP,-4.705800959
FZD4,-3.566030828
TPM2,-2.734205582
ETS1,-2.888513502
RASSF8,-4.626641422
EVA1B,-3.667833109
TCF21,-5.748869681
ECM2,-5.393210729
EGFLAM,-5.333832182
SPSB1,-3.127895871
GYPC,-5.667833109
PLEKHO2,-3.331086299
KCNMA1,-4.985502771
SIGLEC10,-4.746442944
RASSF4,-3.268284117
EHD3,-4.748342476
TLR2,-3.636953796
SELPLG,-5.063505283
F3,-2.885681938
JAZF1,-4.475188031
FLNA,-2.70140919
NUAK1,-3.514080233
VSIR,-4.618525469
PSD3,-3.405170963
ENPP2,-4.241207635
MPDZ,-5.079259355
HES4,-4.22561078
HCK,-4.810573281
TMEM45A,-4.811568586
HIC1,-5.271904432
TNS1,-3.10074925
CYP27A1,-3.844567668
MYH11,-3.404798703
SNX10,-3.126662583
PLCG2,-4.639966315
FYB1,-4.690239522
GIMAP8,-4.665082498
SLCO2B1,-2.977132056
EPSTI1,-2.844459275
RASIP1,-4.38803049
STC1,-5.724416637
C1orf54,-3.502439798
EPB41L4A,-5.166934873
CLIP4,-5.250044999
RHOJ,-4.942840156
ROBO4,-4.279233974
FYN,-4.314369441
C20orf194,-4.455026736
SERPINB9,-3.463088553
COL4A5,-4.769404092
ADA2,-3.010556403
LILRB2,-5.128313579
LIX1L,-2.961077025
TDRP,-5.397435315
FAS,-3.652008142
ADAMTS5,-5.99360327
CLEC4A,-3.772169769
GPRC5B,-4.356173349
OLFML2B,-3.029713289
NOVA2,-5.037782719
FRY,-4.598447046
TENT5C,-4.538550092
TENM4,-5.071282634
TFEC,-4.155221452
MAB21L2,-4.781406616
GIMAP6,-5.011904087
PLEKHH2,-4.74183369
IGHM,-3.32124296
SIGLEC1,-4.842138596
C1QTNF6,-3.71429242
UTY,-4.978173229
RIPOR1,-3.572413544
SDS,-5.439014418
ITGA8,-4.46454951
FOXF2,-4.518741611
PSTPIP1,-5.332729625
GNG11,-4.85855331
HIGD1B,-4.635411631
SPOCD1,-4.255707205
SGIP1,-4.753329329
CD48,-4.683486373
HMOX1,-3.198181648
EXOC3L2,-5.271904432
GPR137B,-3.18468339
CDH2,-6.531771559
MATN3,-5.035204174
CSGALNACT2,-3.348072851
ABCG1,-4.252245907
SOX5,-4.632786162
MSN,-2.590033762
MKX,-5.150509325
APOBEC3G,-4.642886752
ANO1,-4.831331841
UBE2E2,-3.812472814
CNRIP1,-4.753329329
MNDA,-4.478542783
USP18,-3.827711525
SAMSN1,-5.082870608
DZIP1L,-4.86946697
PPP1R18,-2.865815033
PTGER2,-4.667833109
BCL6B,-5.393210729
PRDM6,-7.466920415
ITM2A,-4.619827736
AGPAT4,-4.894341639
DAAM2,-4.553229987
IFFO1,-5.682188402
ATP10D,-3.789511665
CCDC8,-5.778864421
EPAS1,-2.657654705
RUNX3,-4.748869681
CORIN,-5.309379138
ANXA5,-2.573558814
TRBC1,-4.14499232
SPN,-4.819836202
CRABP2,-4.271904432
LRRC8C,-3.968020513
LAMP5,-5.456936326
APBA2,-5.531771559
LILRB1,-4.792161244
FAM49A,-5.166934873
BMP4,-2.865963726
CNIH3,-4.682940001
OLFML1,-4.586913113
GJC1,-5.139454136
PRKD1,-4.418836536
PTGS1,-4.15724345
PPP1R14A,-3.368805416
SLC36A1,-4.125856533
PIEZO2,-4.792161244
TMEM255B,-3.898446037
TSPAN11,-4.85855331
SPRY4,-2.936514078
HLX,-4.917061715
HSPA2,-3.463600057
TRPA1,-4.057399921
RASL12,-4.227849252
A4GALT,-4.730245716
CLDN5,-5.547538875
SELE,-5.416294342
ST3GAL1,-4.155682598
ST3GAL5,-4.096126705
GMFG,-4.547538875
HERC5,-3.441211974
ANGPT1,-4.66140684
PRKCB,-5.125514946
MRGPRF,-5.45396476
IRAK3,-4.60893942
EVC2,-6.161480443
KLRK1,-4.274520381
TM6SF1,-5.134400909
SYNDIG1,-5.848405354
VASH1,-2.702048824
PAMR1,-5.423907526
TCIRG1,-2.853699654
FSTL3,-3.404798703
SH2B3,-2.915452462
CSF2RB,-5.125514946
PTPN7,-4.66140684
CRISPLD1,-5.56313573
PREX1,-3.205727356
FHL2,-3.015661651
NKG7,-4.400352798
ADAMTS10,-5.316758668
PDE10A,-4.274203549
GFPT2,-5.220374132
MMP3,-3.599837213
RORA,-3.99360327
DOCK8,-4.127406509
MAGEH1,-3.307769885
SMARCA1,-3.737672734
SSPN,-4.597443781
BMERB1,-4.483408538
FGD2,-4.374474166
ADAM8,-3.769404092
PTPRC,-5.010037728
GLI1,-5.56313573
FAM107B,-2.877756178
BTK,-4.584691874
CNTN4,-6.023976919
PIK3CG,-5.345905014
PLEKHG2,-3.402488542
APOL3,-4.704698403
IGFL2,-5.801584498
SYNPO2,-3.587565769
GZMA,-4.706786743
KLRD1,-4.782004129
HAPLN1,-5.789511665
DIPK2B,-5.256637676
CPEB4,-3.105853926
RSPO3,-5.259193381
CACNA2D1,-4.648467784
RGS10,-2.78230178
MFAP2,-2.580714237
SCUBE1,-5.667833109
DERL3,-3.565218042
CSRP2,-4.358961167
ZBTB46,-4.035949561
GRASP,-3.626012933
ST5,-2.484899695
MITF,-3.718350636
LIPA,-2.570215988
PLXNA4,-5.860478187
CLIC2,-4.108510429
GAS1,-5.626012933
NPR1,-4.439014418
PIK3CD,-3.930867515
GM2A,-2.979706652
ODF3B,-4.139454136
FOLH1,-4.881957914
HIVEP3,-3.553444307
RILPL2,-3.496281619
KLF12,-3.840669706
PEAK1,-2.632734858
PIK3R5,-4.67423088
SNX24,-3.740183953
TM4SF19,-5.035949561
ARHGAP9,-4.334764456
RASGRP3,-3.992725985
SGMS2,-3.30499707
DEGS1,-2.64252202
CALHM5,-5.423907526
ADAMTS16,-4.345905014
SLC12A4,-2.716309517
CLEC5A,-5.45396476
ETV1,-4.002603268
GRK5,-3.402488542
ST3GAL6,-4.635411631
WAS,-5.051457655
CD300LF,-4.862696012
RASGRF2,-4.635411631
JAG1,-2.636812598
ZFHX4,-6.29076346
LRP1,-2.510767997
TSPAN18,-5.241207635
BIN2,-4.356960202
GPR183,-4.583404328
SYNE3,-3.936514078
FMNL1,-3.726591008
ADGRL3,-3.988643846
ARHGAP25,-3.985502771
CH25H,-5.11143976
PLEKHG1,-3.379457574
IL1B,-3.822343058
ATP6V1B2,-2.573418703
SLC9A9,-4.638686763
VGLL3,-3.234194626
ADAMTS1,-2.756444629
CSF3R,-5.22561078
ARHGAP10,-3.370427333
BATF3,-5.040278731
QKI,-2.509064727
RBMS1,-2.78872567
ST6GALNAC5,-4.326539689
ZNF423,-4.214660481
OGN,-5.848405354
MAP1B,-2.99660048
SULF2,-2.440232396
IL2RB,-4.786477605
P2RY6,-4.412247509
LMCD1,-3.192430533
PARVG,-4.650759595
LRRC25,-4.345905014
ZCCHC24,-2.747949675
FAM167B,-3.944542452
PRRX2,-5.301961666
ROBO1,-2.804663891
GPAT2,-4.590323742
SLFN12,-5.515830015
SPOCK2,-4.724416637
FLT4,-4.624880964
RBP7,-5.538550092
UTRN,-2.571269002
PDE4D,-2.703514233
PRKCH,-4.114579468
PKD2,-2.507224997
MYO1G,-4.146596206
ADAMTS6,-4.490294923
FAM20A,-5.241207635
SMARCD3,-3.930867515
JAM2,-4.799270632
LIMD2,-3.012572156
GSN,-2.360605292
ADGRE2,-3.799761762
CD80,-4.228335418
STARD8,-5.175980013
PPP1R3C,-5.659565493
HECW1,-5.296995413
PTPN13,-5.667833109
RGMA,-4.746442944
PDGFD,-3.09840176
GP1BB,-4.60893942
GRP,-4.796566423
FBN2,-5.056398397
WDFY4,-4.865279173
KCNE4,-5.520402745
IGF1,-5.088107256
SORCS2,-6.588761538
ALDH1L2,-4.359579951
AHNAK,-2.303916558
TM4SF18,-3.397951762
ANXA6,-2.391991927
P4HA3,-6.483408538
ADAMTSL4,-4.101979431
ATP6V0D2,-4.439014418
PDLIM3,-4.847099157
CSGALNACT1,-4.309379138
UNC5C,-6.568297435
MN1,-4.831331841
PRSS12,-5.724416637
HEYL,-3.39075925
RHOBTB3,-3.336567149
APOL4,-4.085377464
ABCC9,-3.499061802
SHE,-4.593832527
PTPRS,-3.478878879
NPR3,-5.211603922
RASAL3,-4.771210849
WNT2B,-4.594725561
HHEX,-4.444308718
RIMKLB,-3.172499444
SIGLEC9,-4.474638328
HAND2,-5.406446556
CRYAB,-2.879337214
CLIC6,-6.52647726
NLRC4,-5.120838458
ALDH1A3,-3.023976919
CYP7B1,-3.749801956
KCNS3,-4.037273742
MYCT1,-5.632786162
DDX60,-3.442478274
CDC42EP3,-3.084097911
NKX2-3,-4.987451043
FLRT2,-5.366369117
PTPN22,-4.182406282
GPR4,-4.681089206
PLAUR,-2.395451809
FGF7,-4.373126483
FLI1,-4.576517942
ZFPM2,-4.676053616
GBP5,-4.19390192
PSMB9,-2.652689623
CMKLR1,-4.296995413
SNCA,-5.271904432
SVEP1,-4.626012933
SLC2A3,-4.256637676
DIP2C,-3.184441591
TIE1,-4.46454951
MAP3K12,-3.494296854
CD79A,-4.229091349
FOXP1,-2.66732233
RRAGD,-4.328831501
OSCAR,-5.023976919
WNT4,-4.381528924
DEPP1,-2.89748839
RAB7B,-4.296995413
MGAT1,-2.365848006
TMEM47,-5.023976919
MILR1,-4.760942513
FAM171B,-3.96508323
WFDC1,-4.304084838
GRIP2,-4.49971035
IGSF21,-4.754369859
ADCY4,-3.571464714
LAT2,-3.380911464
IFITM3,-2.227455803
MYO5A,-3.831331841
ZNF532,-2.421441789
LZTS1,-4.812472814
TRAF3IP3,-4.200854681
DHX32,-3.553229987
PFKP,-2.977753902
OR51E1,-5.505103609
MUC12,3.0414091807873387
CD180,-4.588761538
RAI14,-2.555228833
LMO4,-2.527954977
CD70,-5.978173229
MEIS2,-5.023976919
ABCC4,-2.495639856
MAN1A1,-2.384287491
GADD45B,-4.423907526
ARSB,-2.817526042
SLAMF7,-4.294066082
MX2,-3.598885755
GLI2,-6.023976919
MAN1C1,-3.154373556
PCSK5,-3.999729373
LAMC1,-2.219493634
TENM3,-6.60893942
CD55,-2.279010892
FST,-5.325146454
SOCS1,-3.864196475
HMGA2,-5.768138015
TMEM273,-4.693828317
HOOK1,3.2603877628755282
PTGIR,-4.326539689
SH3RF3,-3.57723056
DUSP4,-4.393210729
HOXB2,-3.465981466
IFITM10,-4.240294826
MAPK10,-3.962576374
PARD6G,-3.949976338
SAMD4A,-3.163040957
SGPP1,-2.677586767
SDK1,-4.831331841
RNF150,-6.416294342
IRF4,-5.547538875
GPBAR1,-7.778864421
